2022-06-28 14:46:29,902 - INFO: 1 people, Wearing mask, Confidence score: 0.5071730613708496, Using Baidu
2022-06-28 14:46:35,072 - INFO: 1 people, No mask, Confidence score: 0.9924817681312561, Using Baidu
2022-06-28 14:46:58,357 - INFO: 1 people, Wearing mask, Confidence score: 0.9548964500427246, Using Baidu
2022-06-28 14:51:59,936 - INFO: 1 people, Wearing mask, Confidence score: 0.9999989867210388, Using Baidu
2022-06-28 14:52:08,199 - INFO: 1 people, No mask, Confidence score: 0.9940668344497681, Using Baidu
2022-06-28 14:52:45,912 - INFO: 1 people, Wearing mask, Confidence score: 0.8309032320976257, Using Baidu
2022-06-28 14:52:50,044 - INFO: 1 people, No mask, Confidence score: 0.9933520555496216, Using Baidu
2022-06-28 14:53:59,318 - INFO: 1 people, No mask, Confidence score: 0.9895893931388855, Using Baidu
2022-06-28 14:54:15,691 - INFO: 1 people, No mask, Confidence score: 0.9895893931388855, Using Baidu
2022-06-28 14:54:20,063 - INFO: 1 people, Wearing mask, Confidence score: 0.9999989867210388, Using Baidu
2022-06-28 14:54:24,325 - INFO: 1 people, No mask, Confidence score: 0.986106276512146, Using Baidu
2022-06-28 14:57:02,426 - INFO: 1 people, No mask, Confidence score: 0.9946735501289368, Using Baidu
2022-06-28 15:01:40,516 - INFO: 1 people, No mask, Confidence score: 0.997697651386261, Using Baidu
2022-06-28 15:02:49,727 - INFO: 1 people, No mask, Confidence score: 0.9958985447883606, Using Baidu
2022-06-28 15:06:12,241 - INFO: 1 people, No mask, Confidence score: 0.9948604702949524, Using Baidu
2022-06-28 15:17:41,520 - INFO: 1 people, No mask, Confidence score: 0.995133101940155, Using Baidu
2022-06-28 15:19:07,441 - INFO: 1 people, No mask, Confidence score: 0.9885239005088806, Using Baidu
2022-06-28 15:19:14,034 - INFO: 1 people, Wearing mask, Confidence score: 0.8958743214607239, Using Baidu
2022-06-28 15:23:32,292 - INFO: 1 people, No mask, Confidence score: 0.9919288158416748, Using Baidu
2022-06-28 15:26:23,942 - INFO: 1 people, No mask, Confidence score: 0.993658721446991, Using Baidu
2022-06-28 15:28:08,372 - INFO: 1 people, No mask, Confidence score: 0.9955126643180847, Using Baidu
2022-06-28 15:28:37,087 - INFO: 1 people, No mask, Confidence score: 0.9842022657394409, Using Baidu
2022-06-28 15:31:22,781 - INFO: 1 people, Wearing mask, Confidence score: 0.7064492106437683, Using Baidu
2022-06-28 15:31:26,565 - INFO: 1 people, No mask, Confidence score: 0.989050030708313, Using Baidu
2022-06-28 15:35:16,384 - INFO: 1 people, No mask, Confidence score: 0.9875515103340149, Using Baidu
2022-06-28 15:36:14,023 - INFO: 2 people, No mask, Confidence score: 0.9923678040504456, Using Baidu
2022-06-28 15:39:20,317 - INFO: 1 people, No mask, Confidence score: 0.9950509667396545, Using Baidu
2022-06-28 15:48:06,138 - INFO: 1 people, No mask, Confidence score: 0.9864585995674133, Using Baidu
2022-06-28 15:49:17,147 - INFO: 1 people, No mask, Confidence score: 0.9921053647994995, Using Baidu
2022-06-28 15:55:01,931 - INFO: 1 people, No mask, Confidence score: 0.9876970648765564, Using Baidu
2022-06-28 15:59:49,455 - INFO: 1 people, No mask, Confidence score: 0.9920274615287781, Using Baidu
2022-06-28 16:00:16,620 - INFO: 1 people, No mask, Confidence score: 0.9947539567947388, Using Baidu
2022-06-28 16:02:52,145 - INFO: 1 people, No mask, Confidence score: 0.9891819357872009, Using Baidu
2022-06-28 16:04:34,368 - INFO: 1 people, No mask, Confidence score: 0.9847026467323303, Using Baidu
2022-06-28 16:06:17,041 - INFO: 1 people, No mask, Confidence score: 0.9818003177642822, Using Baidu
2022-06-28 16:12:45,748 - INFO: 2 people, Wearing mask, Confidence score: 0.7919338345527649, Using Baidu
2022-06-28 16:12:56,448 - INFO: 1 people, No mask, Confidence score: 0.9966762065887451, Using Baidu
2022-06-28 16:13:02,962 - INFO: 1 people, Wearing mask, Confidence score: 0.9699321985244751, Using Baidu
2022-06-28 16:13:10,062 - INFO: 1 people, No mask, Confidence score: 0.9961071610450745, Using Baidu
2022-06-28 16:14:48,881 - INFO: 1 people, No mask, Confidence score: 0.9917492866516113, Using Baidu
2022-06-28 16:15:30,298 - INFO: 1 people, No mask, Confidence score: 0.9961916208267212, Using Baidu
2022-06-28 16:16:48,079 - INFO: 1 people, No mask, Confidence score: 0.9974663257598877, Using Baidu
2022-06-28 16:18:17,265 - INFO: 1 people, No mask, Confidence score: 0.9944087862968445, Using Baidu
2022-06-28 16:20:01,260 - INFO: 1 people, Wearing mask, Confidence score: 0.9163364768028259, Using Baidu
2022-06-28 16:20:05,654 - INFO: 1 people, No mask, Confidence score: 0.9773000478744507, Using Baidu
2022-06-28 16:20:47,705 - INFO: 1 people, No mask, Confidence score: 0.9864611029624939, Using Baidu
2022-06-28 16:40:13,560 - INFO: 1 people, No mask, Confidence score: 0.9953768253326416, Using Baidu
